Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06037224702","Census Tract 2247.02, Los Angeles County, California","ACSSF","ca","140","00","0004971",,,,,"06","037",,,"224702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224702","Census Tract 2247.02",,,,1578,1002,99,71,114,107,185
"06037226001","Census Tract 2260.01, Los Angeles County, California","ACSSF","ca","140","00","0004972",,,,,"06","037",,,"226001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037226001","Census Tract 2260.01",,,,2225,185,360,389,353,222,716
"06037226002","Census Tract 2260.02, Los Angeles County, California","ACSSF","ca","140","00","0004973",,,,,"06","037",,,"226002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037226002","Census Tract 2260.02",,,,1907,449,102,125,96,204,931
"06037226410","Census Tract 2264.10, Los Angeles County, California","ACSSF","ca","140","00","0004974",,,,,"06","037",,,"226410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037226410","Census Tract 2264.10",,,,3574,293,443,529,628,558,1123
"06037226420","Census Tract 2264.20, Los Angeles County, California","ACSSF","ca","140","00","0004975",,,,,"06","037",,,"226420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037226420","Census Tract 2264.20",,,,5394,564,328,710,895,811,2086
"06037226701","Census Tract 2267.01, Los Angeles County, California","ACSSF","ca","140","00","0004976",,,,,"06","037",,,"226701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037226701","Census Tract 2267.01",,,,3083,207,77,139,308,427,1925
"06037226702","Census Tract 2267.02, Los Angeles County, California","ACSSF","ca","140","00","0004977",,,,,"06","037",,,"226702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037226702","Census Tract 2267.02",,,,4255,1011,321,344,597,425,1557
"06037227010","Census Tract 2270.10, Los Angeles County, California","ACSSF","ca","140","00","0004978",,,,,"06","037",,,"227010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037227010","Census Tract 2270.10",,,,5052,572,377,490,756,1059,1798
"06037227020","Census Tract 2270.20, Los Angeles County, California","ACSSF","ca","140","00","0004979",,,,,"06","037",,,"227020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037227020","Census Tract 2270.20",,,,3762,127,281,196,1173,343,1642
"06037228100","Census Tract 2281, Los Angeles County, California","ACSSF","ca","140","00","0004980",,,,,"06","037",,,"228100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228100","Census Tract 2281",,,,5785,579,630,357,1452,275,2492
